;Comment
2293;"Пару лет назад , пришло время у моего коллеги дочь в детсад отдавать . Устроили и через некоторое время началось ... То давайте на это соберем то на это . На здравый вопрос про выделяемые деньги с бюджета, был ответ что денег не хватает. Придя домой , девушка написала жалобу в местную администрацию , но поскольку городок у нас небольшой а эти "" элиты"" друг с другом знакомы то выхлопа не получилось . Написала жалобу в прокуратуру и Тверь , и о чудо ! Нашлись деньги даже на туалетную бумагу, мыльно - рыльные - технические средства . Да что там , даже методички учебные и то предоставили всем детям . К дочери отношение ее не изменилось со стороны воспитателей ( как принято у нас думать ) ."
2294;тут всё от директора и зависит. Если директор инициативный, то он денежки выбивает у министерства образования. А если не выбивает, то просят у родителей.
2295;"*родитель
-А действительно, кто должен оплачивать работу охраны школы?
*звук удара кастетом
*шум падающего тела
*классный руководитель:
-Задаем вопросы,не стесняемся!
*остальные родители:"
2296;"У коллеги в школе после выборов (когда бывшие в избирательной комиссии учителя посчитали ""как надо"") родители перестали вносить деньги на нужды школы. Пару недель школьная администрация всячески демонстрировала, как сильно это сказывается на детях - исчезло мыло, туалетная бумага и все в таком духе. Потом их припугнули проверкой и все вновь появилось. Так родители узнали, что деньги у школы на все ништяки есть, просто их тратили не туда."
2297;Везде у нас так. И в медицине и в образовании и в армии и в .. хотя в думе наверное не так.
2298;в армии все есть, просто нам этого всего не дают - мы это уже продали выдали, сломаете, проебете и вообще вон там есть советский прибор, подшаманишь его, будет как новенький.
2299;Почему наверное?
2300;"Это был анекдот, а не коммент. Довольно бородатый, времен GPRS-баша. Поборы имеют место быть, но давайте немного подумаем. Итак. Договор на охрану образовательных учреждений заключает не школа. А Мин.образования города. Так же как и интернет, и ежегодный ремонт. С видеонаблюдением ситуация сложнее. Если нет прямого указания от министерства, то школа может организовать видеонаблюдение только с разрешения родителей (род.комитета). Если хоть раз пытались согласовать что-то в пределах одного класса, то можете экстраполировать этот опыт на всю школу. Непосредственно в ведении школы только организация: турникеты, кабинка охранника и т.п. Все на что не хватило выделенных министерством денег, а это зачастую очень много (дети разбили окна, можно просто вставить новые стекла, но это полумеры, по хорошему надо ставить стеклопакеты, но денег министерство на это не выделит, потому что ремонт запланирован только на следующий год, а на бюджет этого года уже отремонтированы санузлы, поставлены кабинки и заменены трубы и т.п.), делается за счет так называемой ""внебюджетки"". ""Внебюджетка"" - это то, что зарабатывает сама школа: кружки, секции, платное репетиторство на базе школы и т.п. Сами понимаете, школа не коммерческая организация, зарабатывать миллионы не умеет. Хотите, чтобы на входе в вашу школы сидел не дедушка-вахтер за 253 р. в час (реальная ставка от росгвардии для гос.учреждения, при чем минимальная, ниже уже некуда), а человек обладающий хоть каким-то подобием внимания и реакции? Это уже не за счет школы. И так во всем. Поэтому рубить с плеча не стоит."
2301;Все зависит от директора школы/сада. Рыба гнеет с головы. Мои дети ходили в сад, на первом собрании заведующая сказала, если хоть кто, хотя бы рубль передаст воспитателю, то тут же будет куча проблем у всех. Род комитет собирал деньги на влажные салфетки, подарки детям к нг, и на символические подарки воспитателям и сотрудникам сада. Сумма за год не превышала 2000 руб.
2302;"Потому что чушь это, а не анекдот. Знаю достаточно работников органов, которые различными путями помогают школе, чаще всего через нее активно выполняются требования по взаимоотношениям школы и системы правоохранительных органов.
многочисленные лекции по ПДД, наркотикам, алкоголизму и прочей поеботе, которая приходит приказом сверху.

И точно так же сдают деньги на туалетную бумагу в младший блок, и на мыло, и на прочую херь, ибо по нормам может 1 пачка бумаги предоставляться на 35 детей на сутки, в то, что она закончится через 4-5 походов в уборную - всем похуй, норма выполнена. Та же хуйня и с мылом. По нормам мыло, - кусок на 100 посещений туалета, которые дети должны организовать примерно за 3 дня. Вот через 3 дня мыло и поменяют, и похуй всем на то, что оно закончится через день. Документ есть, администрацию не накажут. Неравнодушные хоть в министерство писать могут, это их право, но то же самое странное мыло - от этого не появится.

Помню, одни знакомые целую войну устроили, что у них в классе (всё ещё младший блок) хуёвая доска, шкрябает, ничего на ней не видно, дети воообще писать по ней толком не могут.
Всё требовали замерить и долго кричали ""а почему мы должны?!"".
Ну так не должны ведь, у доски срок годности - 20 лет, через 20 её заменят, а то, что через 15 уже писать толком нельзя - так это не проблемы директора, ему денег на новую дадут скорее всего только после документального подтверждения негодности доски.


Или ещё пример, уже по старшему блоку.

Перегорела в проекторе лампа. По документам ресурс лампы 1000 рабочих часов и 200 включений (к примеру), но СанПиН рассматривает проектор как компьютер и требует, чтобы проектор работал не больше 10 минут без перерыва, после чего его нужно выключить, а потом включить ещё раз. За невыполнение требования накажут учителя (причём в конкретно этом примере, который был непосредственно во время моей работы - инициировал родитель проверку), по этой причине ресурс включений исчерпал себя очень быстро. А вот замена лампы возможна только после истечения срока действия ресурса работы общего. И вот есть три выбора, не пользоваться проектором воообще, купить учителю лампу за свои деньги или скинуться классом.
непосрелствеено в этой истории почти полгода проектор просто висел под потолком никому нахуй не нужный.
Зато и вред детскому здоровью ее нанесли, и коррупцию не допустили)

вообше, люблю я людей, которые от руководства пытаются добиться реализации из прав, молодцы эти люди, реально полезное дело делают. Но методы, которыми они пользуются иногда смешны и нелепы.
Вспомнилось, как лично на меня пыталась орать одна родительница из-за слишком тусклого освещения в классе. Я конечно её понимаю, но хули человек от меня то хотел? Что бы я из жопы новую лампу достал и повесил?)


ПыСы. Чёт меня прям слишком сильно занесло."
2303;Подскажите пожалуйста, документальное подтверждение изнощенности доски это большая проблема? Я не понимаю. И почему это проблема учителей? Почему не завхоз с диром где хотят там и ищут? Я вот даже представить себе не могу, чтоб я 6а работе сам себе инструмент искал. Даже если он сломался раньше положенного.
2304;Всё описанное вами легко решается. И лампа списывается и доска. Было бы желание администрации этим заниматься. Единственное, с чем соглашусь, да, рыльно-мыльные и жопная бумага реально нужны и я не против на них скинуться.
2305;"а можно ссылку на СанПин который говорит что комп нужно ребутить каждые 10 минут?!
потому что санпин не про компы, а про защиту человека от него. подозреваю что там написано нельзя смотреть больше 10 минут, а ребутить проектор вовсе не обязательно.
и насколько я помню в санпине есть интерактивные доски, значит и проектор с экраном он рассматривает обособленно от компа аля ""интерактивные технологии"".

кстати, а че там СанПин говорит про доску с мелом на которой не хера не видно?! или срок годности выше норм СанПина?"
2306;Что-то я не пойму, выше в этой же ветке пишут, что в саду хорошие трубы приходится менять, ибо денежку надо освоить, тут пишут, что даже доску поменять раньше срока нельзя. А как на самом то деле, директор сам выбирает, на что выделенные деньги потратить или все же нет?
2307;"Ну у нас на работе мыльно рыльные принадлежности выдаются (на 1 работника) раз в 3недели 3 куска мыла, 1 тюбик скраб от мазута,1 защитного крема от всякого дерьма и ещё 2 каких-то тюбика и плюс 2 пары хб перчаток..... угадайте чего у каждого работника остаётся вагон и маленькая тележка, а что порвано в течении 2недели ;) ?"
2308;Если вы работаете по идиотским требованиям, а ваше начальство не может нормально составить заявку на бюджет - то в этом виноваты не родители. Жалуйтесь на идиотские требования и требуйте от начальства денег, пусть списывает негодное и просит из бюджета средства на годное. Напишите письменно прошение, а потом устройте проверку, начальству скажете, что предупреждали. Если вы не готовы отстаивать свои права, то зачем пошли в бюджетную сферу? По моему опыту, почти все, что контролируется государством, неэффективно и забюрократизировано, исключения очень редки, относятся к IT-сфере, и обходятся в горы денег (оверпрайс). Но все равно, это не повод заниматься поборами.
2309;"Помню, одни знакомые целую войну устроили, что у них в классе (всё ещё младший блок) хуёвая доска, шкрябает, ничего на ней не видно, дети воообще писать по ней толком не могут.
Респект таким знакомым"
2310;Старший блок, младший блок- это где так называют? Всегда были младшие и старшие классы.
2311;У меня вообще смешное было! Я работал в школе охранником и за своих детей сдавал же за охрану! И документов мне даже директор не предоставил. Единственно, сказал: я доплачу тебе эту тысячу (2х500) в следующую зарплату
2312;так проблема в людях терпилах, с них бабло трясут а те не могут даже заявление написать в прокуратуру, за диточек своих боятся
2313;Иногда - вполне оправданно боятся, кстати.
2314;"И мне тоже непонятно, почему заведующие /директора мылят деньги целевые, а мы должны им помогать?
Так мылят они не целевые, а вполне себе внебюджетные, пришедшие под видом добровольных пожертвований от родителей на охрану/шторы/праздники."
2315;Да-да, а потом одни отчетные документы показывают всем - вот куда деньги ваши ушли
2316;"Вы президенту больше верьте, который рассказывает о полном финансировании школ. Он же нам ещё ни разу не врал. По факту же, сколько денег на школы выделили и сколько до них дошло - это в 99% несопоставимо разные величины, а директор потом думает, на что эти деньги пустить - премии учителям, чтобы последние не разбежались, ремонт, охрану, новые парты или компьютеры достаточно современные, чтобы на них хотя бы элементарные учебные программы не тормозили.
Я сам во многом не хочу быть классным руководителем потому, что, простите, нахрен мне сдались препирательства с родителями учеников по поводу сдаваемых денег, вот нахер мне надо им доказывать, что если не сдать денег на принтер, краску, бумагу и ремонт в классе, то вместо егэшных тестов будут классические контрольные и опросы, а учиться их дети будут в облупившемся классе с рваным линолеумом старше их. Президент же им сказал, что школы полностью финансируются! Мне, блин, и так недавно скандал закатили за то, что я просто намекнул на необходимость покупки атласов исторических - школа же обязана ими снабжать!
P.S. Да, чуть не забыл - отдельная история про шизоидный вопрос, как чинуши решают, какой школе сколько денег выделить. На словах всё просто, чем успешнее ученики - тем больше бабла выделят школе, но по факту вообще никто внятно не может объяснить зависимость одного от другого."
2317;"Это так не работает — если выделили деньги на условную охрану, директор не может из этих денег выплатить премию учителю. Если выделили на условную лампу для проектора, то директор не может за эти деньги нанять охранника.

Только если он не спиздил эти деньги и делает всё «в чёрную»."
2318;То есть вы утверждаете что в школе ничего само по себе не разуплотняется?)
2319;Достаточно много людей, которые не против помочь деньгами всяким бомжам, алкашам и заведующим школ, я охуеваю с них, но это их право, они думают, что делают мир лучше, лол
2320;"Норм ты рейтинг ""прокачала"" одним комментом. Твой звездный час настал, молодец)"
2321;"Есть такая русская(или Советская) поговорка, лох не мамонт, лох не вымрет. И в догонку ""Без лоха и жизнь плоха"". Ни кому не в обиду."
2322;"Самое весёлое, когда 2 ребёнка ходят в одно и то же учреждение и платят за обоих.
Хотя.... ""подушевое финансирование"""
2323;Муж как-то хороший лайфак подсказал от поборов.И в садиках,и в школах всегда просят бумагу,пусть даже «испачканную» с одной стороны.Так вот,находим бланки прокуратуры,распечатываем,и приносим в школу/сад со словами «У нашего папы/дяди/дедушки тут на работе бумагу лишнюю дали»
2324;Ебучие анекдоты уже выдают за свои истории
2325;Ахахахахах
2326;Так они целевые тратят как надо, это родительские прибирают, они же вне кассы проходят))))
2327;"Двое детей ходят в бюджетный сад (причём очень хороший). Собираем только на подарки детям.
Ну ещё раз в год по сто рублей в фонд группы"
2328;Я в садике сразу сказал, что работаю в отделе образования города. Никаких поборов не было... В школе, директор сама помнит, что приходила ко мне в ОО, хоть я там и не работаю, вопросов не возникает.
2329;после Керчи школам стали выделять средства на охрану, до этого отдельно не выделялись на эти цели деньги. В итоге пару лет на охрану ничего не просят.
2330;"Мы ходим в садик, 2 года. И в первый год с нас просили за охрану 500. Я попросил чеки, и все я больше за охрану не здаю.

Да и ввообще у нас в садике нет охраны."
2331;Работаю в прокуратуре, могу помочь проверкой
2332;#comment_142186113
2333;а может целевые деньги мылят до заведующих, не думали?)
2334;Писать заявление по факту вымогательства денег????? Да ну, нахуй, это сложно...
2335;Я хуею, примитивный анекдот времён палеозоя набирает 4500 плюсов.
2336;Мылят деньги чтобы их сэкономить и по итогу года их можно списать на всякие надбавки и прочее себе любимому ну и приближенным. Это результат реформы системы оплаты труда госучреждений (НСОТ). Я не знаю как в других садах, в нашем скинули в начале года по 500 р на весь год. Это и подарки на праздники воспитателям и необходимая расходка на группу. Родительский комитет всегда все ответы предоставляет.
2337;Нам сказали, целевые деньги есть только на ночную охрану. Днём охрана дет.садам не положена, но если хотите, чтобы днём тоже сидел охранник - оплачивать на вот этот счёт.
2338;ахахахах, правильно, надо сразу их затыкать, вообще уже страх потеряли
2339;"Бюджет оплачивает не 100% стоимости охраны, а за последний год ещё и снизили. Директора выкручиваются как могут. Те, кто может себе позволить - садят второго охранника, т.к. 2е суток в 1 каску сильно не наохраняешь. Как то так. Требовать права не имеют, добровольный взнос. Если школа не собирает денег с родителей, а платных услуг нет - денег взять негде. Никто никаких целевых средств не ""мылит"" за это и присесть можно"
2340;В вашем саду заведующая паркует свою джетту на территории сада. Машинка недешевая. Не палится особо ))
2341;Обидно за страну, во всем нормальном мире это недорогой седан, который может позволить себе любой работающий человек.
2342;Jetta это не суперкар, самый последний рестайлинг со всеми опциями и самым мощным двигателем стоит 2 миллилна новый. Старенькие можно и за 500к найти на вторичке.
2343;Ну что Вы так сразу... Может просто насосала
2344;Ну смотря кто и где. У нас на районе нет денег на физ. охрану (кругом вахтеры), а школы трясут за это. Только и успевают штрафы выписывать, а денег никто не даёт. И ебитесь как хотите. Да ещё и расположение возможных фирм для заключение договоров по охране максимально неудобное, в результате цена на итого дорогое обслуживание взлетает до небес, что выжигает шансы получить на это финансирование почти в 0.
2345;"пиздеж. Школы финансируются из муниципального или городского бюджета. Деньги, которые сейчас идут на оплату нужд школы, задекларированных в потребности ""на следующий год"" - выделены были еще в январе, если не раньше. Поэтому тут либо пункт ""охрана школы"" не подали на финансирование, либо подали, получили бабло и попилили, либо конкретно этой школе физ. охрана не положена (правда, я без понятия, какая у такого решения может быть причина). Более того скажу, школа не может тратить деньги на физ. охрану на что-то другое, потому что расходы бюджетников раскиданы по огромной куче статей - т.н. ""бюджетных строк"", на каждой из которых есть только запланированное бабло и если бабло с бюджетной строки ""питание в школе"", например, уйдет в контору, деятельность которой обозначена в классификаторе как ""продажа сантехники"", всем подписавшим этот транш автоматически будут инсталлированы бутылки в задний проход. Более того, годовые (или многолетние) контракты на обслуживание (типа охраны) заключаются ДО того, как охрана понадобится. За несколько месяцев ДО, потому что с бюджетниками это долгий процесс. И штрафы выписывают вполне правильно, потому что штраф означает не то, что ""хули у вас нет охраны?"", а ""денег выделили в начале года, хули у вас нет охраны по факту?"". Проверяющие тоже не идиоты писать штрафы, которые потом одной справкой будут аннулированы и им придется рассказывать, нахер они бумагу переводят. Если знаете название вашей школы, просто поищите его на https://zakupki.gov.ru/ - там все подобные траты отображены. В целом, просто помните, что все базовые школьные потребности здесь и сейчас - либо УЖЕ финансово покрыты полностью, либо НЕ БЫЛИ поданы на финансирование, либо РАЗВОРОВАНЫ. Других вариантов нет - школа большей частью своих денег легально распоряжаться не может."
2346;А почему родители не идут в прокуратуру? Не жалуются в администрацию?
2347;"Бугага, вы как не в России живете! ""Обещать - не значит жениться"" Путин все что угодно по ящику может болтать, но деньги по целевой статье у школы-сада от этого не появятся. Разумеется, у школы есть определенный бюджет. И в 2020 учебном году он весь пошел на приобретение незапланированных санитайзеров по постановлению роспотрбенадзора. весь, включая деньги на запланированные ремонты и пр. Не купить не могут, росптреб придет и штрафы выпишет если их не будет.
Это как весной - когда Путин объявил всем сидеть дома с сохранением зарплаты. Да только не сказал, откуда бизнесу на эту зарплату деньги брать"
2348;"Моей подруге в 11 классе сказали, что к выпускному каждый должен сдать по 20000 рублей ""на оформление зала и подарки учителям"". Это 2011 год и в классе, на минуточку, больше 20 человек. Когда они с матерью отказались, завуч начала приставать к ним с речами по типу ""А что так? Вон у тебя телефон новый и часики. А на выпускной у мамы денежек нет?"". Охуеть."
2349;А завуч статью о вымогательстве не хочет?
2350;Просто сказать, да классные часы и телефон. Там такой хороший микрофон, аж хорошо слышно, когда записываешь на диктофон, Да Екатерина Сергеевна!
2351;"Завуч хочет не статью, а денег.
Ваш Кэп"
2352;"Научила детей на все подкаты отвечать ""Это не моя компетенция, все вопросы к родителям"". Все диалоги о животных деньгах, морально-этических пиздостраданиях только со взрослыми, ибо нехуй"
2353;Я закончил школу в 2007 (11 классов), уже работал как второй год на оборонном заводе ( брали как студента, т.е. с мая по сентябрь) и мне сказали принести около 4т.р. на выпускной на который я не собирался , после отказа ( на минуточку на предприятии МРОТ был 2200 или около того ) мне отказались вручать аттестат на линейки как всем детям . Его конечно отдали через 3 недели кинув в кабинете директора на пол , я не гордый поднял и обхуесосил директора и завуча )))
2354;"О, мне и другой отличнице тоже аттестат и медаль не дали на линейке из-за отказа скидываться и провели линейку без нас.

Сказали - дети скинулись, аттестаты их уже пришли, документы на отличников приходят позже. Раз вы не идете на гулянку, ждать еще 2 дня ваши аттестаты и откладывать банкет никто не собирается. Ну хотите, приходите на линейку, постойте, посмотрите, как остальным будут аттестаты вручать и они поедут гулять, а вы домой.
Про нас потом в новостях местных сюжет был, народ охуел тогда знатно, а директор уволилась, насколько знаю.
Город Бийск, школа 34, 2006 год."
2355;Вот уроды
2356;"Я учился в Лицее и на 3-м курсе платили всем стипендию. Т.к. Лицей был профильный, а весь 3-й курс состоит из практики. Но вдруг с января стали задержки, и к апрелю сообщили что сменился директор который отменил стипендию. При этом сдача на охрану делай как положено, я отказался единственный в группе, сказав что пока нет стипендии, то и платить неоткуда. А также устроил ""скандал"" сообщив что новый директор может отменять что хочет с момента вступления в должность, но старые долги за 4 месяца оплатите. В общем разбирательства были до июня, я не платил ничего и к концу июня сообщили что директор передумал и выплатили сразу все деньги с января по июнь. Курс был выпускной, то после выплаты заявили что каждая группа делает всегда подарок Лицею и надо бы скинуться по 2 000₽ всем на новый телевизор. Год был 2005. Я сказал фига :) вот охрана и я сваливаю! Криков было..."
2357;"Директор/завуч кинул документы на пол?
Из-за 4 тысяч «не сданных»?
Прости, я просто котолампово охуел - так вообще бывает?
В смысле - какова хера?"
2358;О, а как обхуесосил и чё они ответили? Самое интересное же пропустил, расскажи!
2359;Ты это здесь раньше не писал? Что-то я уже такое видел
2360;Знакомая ситуация. 2011 год, у меня выпускной. А сдайте 7к гривнушек на выпускной (в классе 32 человека). У мамы зп была в половину суммы.
2361;Попрошайки ебаные
2362;А по поводу школы. Подруга в родкоме, постоянно директор и завуч просили денег на ремонт, типа школа старая, денег на ремонт бюджетных не хватает, спонсоров нет и т. д. Подруга записалась на прием к местному депутату, из лучших побуждений, попросить денег на ремонт школы, типа вот, школа старая и так далее. На что депутат, узнав номер школы, позвал секретаря,которая принесла документы о том,что школе выделено 250 тыров на ремонт. С этими сведениями она пришла к директрисе, на что услышала, ну на эти деньги я ремонт в кабинете у себя сделала. Вот не я на месте подруги была, к сожалению. Твою ж мать, ремонт кабинета на 250 штук, какого органа то, а та спокойно проглотила и пошла восвояси. На следующий год мой сын идет в эту же школу. Готовлюсь к битве.
2363;"250к рублей? на ремонт целого здания? Да этого не хватит чтобы его даже краской просто облить. Я когда закончил школу (в2007) в моей школе сделали ремонт одного только спортзала на 1500к рублей того времени.
Тут вопросы в обе стороны должны быть, одной за нецелевое использование средств, другим за смешные суммы."
2364;Ну как бы речь шла о том, что это не бюджет, а типа спонсорской помощи было. И за 250 к рублей можно было вполне закупить краски на покраску фасада и мастики на натирку полов, на которую скидываются еще с тех пор, когда я училась. Красят и натирают кстати сами школьники на летней практике.
2365;Работаю замом по АХЧ в школе. Родители не должны сдавать деньги вообще. Кроме того, в школе должен быть назначен приказом человек ответственный за противодействие коррупции. Родители разные попадаются, впрочем как и учителя с директорами. И при разных сочетаниях происходят совершенно адовые ситуации. Работа директора как раз в том, чтобы организовать нормальные условия для учебы.
2366;"Ох эти старые приколы...
На самом то деле по большей части все должно идти из финансирования школы. Охрана, ремонты, учебники, парты. краски, оплата труда ремонтникам  и т.п.
Почему это должны оплачивать родители? По факту они уже оплатили это, ибо налоги идут как  раз в бюджет, а из бюджета выделяются деньги и на это тоже.

Поэтому я не переношу тех, кто с пеной у рта пытаются содрать еще денег на школу.  Особенно когда собирается коллекторные агентства в виде ""родительских комитетов"" и идет сбор средств. Ох как не переношу.

Собственно говоря случай из личного опыта - когда я учился, отец одного из одноклассников ничего не сдавал. Все 11 лет. На родительских собраниях не появлялся от слова совсем. И при попытке позвонить струсить денег для очередного повода просто посылал всех на три веселые буквы. Пытались гнобить. Пытались унижать. Но ничего они сделать не могли и не имели права.

Я вообще от темы отошел. Так вот, идем в директору и узнаем какого фига происходит и почему во первых должны платить родители, а во вторых все документы-  ибо вообще это должно быть подочетно.
Если не поможет директору - намекните, что пойдете выше."
2367;"Та же тема, не понимаю я поборов.
Старший ребенок пошел в 1й класс. Начались сборы. Даже сдала. Когда спросила документы, меня облили презрением, колкостями, но показали чеки. Ок. Дальше родился вопрос: зачем мы покупаем в класс клеёнку (1 шт), влажные салфетки, подставку (хз что это, но в чеке так было написано) и еще несколько позиций, неясного назначения. Меня опять облили виртуальным дерьмом и сказали, что просьбы учителя купить что-то не должны обсуждаться, т.к. это на благо детей. Посмотрела я на подарки детям, сравнила суммы сданных средств и решила, что нафиг надо.
Во 2м классе ко мне пришли с наезда ""мы все сдавали по ""х2 сумма от первого класса"" на подарки детям и учителям. Вы будете учителей сами поздравлять или сдадите денег?"" Спрашиваю, что за подарки планируются? Не знаем еще, но нам еще канцелярку купить надо. Какую!? Ну учитель там просила, чтобы все детя ля-ля-ля и прочее литье в уши.
Еще просили на ремонт класса (там все ок, что там ремонтировать), какие-то шторки, а то солнышко мешает детям, на покрытие парт чем-то специальным.
Послала всех нафиг. Удивительно, но шторки не купились, парты не покрылись, из ремонта - покрасили пол. А остальные деньги, судя по родительскому чату, ушли на более важные и мутные цели. Хотя денег не сдаю я и еще пара человек, остальные сдают: ""ну это же нужное дело, ну иначе к детям будут придираться, ну суммы то небольшие""(с)."
